name,rating,org_price,offer_price,clean_original_price,clean_offer_price
"OPPO A55 (Mint Green, 128 GB)",4.3,"₹18,990","₹13,999",18990.0,13999.0
"REDMI 9 Activ (Coral Green, 64 GB)",4.2,"₹10,999","₹10,490",10999.0,10490.0
"MOTOROLA g22 (Mint Green, 64 GB)",3.8,"₹13,999","₹10,999",13999.0,10999.0
"vivo Y21G (Diamond Glow, 64 GB)",4.3,"₹17,990","₹13,989",17990.0,13989.0
"vivo Y02 (Orchid Blue, 32 GB)",4.3,,"₹12,999",,12999.0
"Micromax IN Note 1 (White, 64 GB)",4.1,"₹15,499","₹11,499",15499.0,11499.0
"REDMI 11 Prime (Playful Green, 128 GB)",4.1,"₹16,999","₹13,890",16999.0,13890.0
"realme C21 (Cross Black, 64 GB)",4.4,"₹10,999","₹10,499",10999.0,10499.0
"realme 9i (Prism Blue, 128 GB)",4.5,"₹16,999","₹14,999",16999.0,14999.0
"realme 9i (Prism Black, 128 GB)",4.5,"₹16,999","₹14,999",16999.0,14999.0
"vivo Y33s (Midday Dream, 128 GB)",4.3,"₹21,990","₹18,990",21990.0,18990.0
"realme C25s (Watery Grey, 128 GB)",4.4,,"₹11,999",,11999.0
"SAMSUNG Galaxy M04 (Light Green, 64 GB)",4.1,"₹11,499","₹8,927",11499.0,8927.0
GREENBERRI VIRAT,3.7,"₹1,499",₹799,1499.0,799.0
"realme C25_Y (Metal Grey, 64 GB)",4.5,"₹12,999","₹10,999",12999.0,10999.0
"REDMI Note 10S (Frost White, 64 GB)",4.4,,"₹16,999",,16999.0
"SAMSUNG Galaxy A13 (Peach, 64 GB)",4.1,"₹18,490","₹14,499",18490.0,14499.0
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)",4.2,"₹12,999","₹11,099",12999.0,11099.0
"realme C25_Y (Glacier Blue, 128 GB)",4.5,"₹13,999","₹11,999",13999.0,11999.0
"POCO M5 (Yellow, 64 GB)",4.3,"₹15,999","₹10,999",15999.0,10999.0
"realme Narzo 50A (Oxygen Green, 128 GB)",4.4,"₹13,999","₹12,499",13999.0,12499.0
"SAMSUNG Galaxy A13 (Black, 128 GB)",4.1,"₹19,990","₹14,999",19990.0,14999.0
